processing {'export': True, 'labels:label': 'Filesystem', 'type': 'File', 'flags:string[]': '', 'lineno:int': '', 'code': '', 'childnum:int': '', 'funcid:int': '', 'classname': '', 'namespace': '', 'endlineno:int': '', 'name': 'test.js', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_TOPLEVEL', 'flags:string[]': 'TOPLEVEL_FILE', 'lineno:int': '1', 'code': '', 'childnum:int': '', 'funcid:int': '', 'classname': '', 'namespace': '1::5:26', 'endlineno:int': '5', 'name': 'test.js', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_ASSIGN', 'flags:string[]': '', 'lineno:int': '1', 'code': 'global.gvar = 5', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '1::1:15', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'integer', 'flags:string[]': '', 'lineno:int': '1', 'code': '5', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '1:14:1:15', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_PROP', 'flags:string[]': '', 'lineno:int': '1', 'code': 'global.gvar', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '1::1:11', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '1', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '1::1:6', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '1', 'code': 'gvar', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '1:7:1:11', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_METHOD_CALL', 'flags:string[]': '', 'lineno:int': '2', 'code': 'console.log(gvar)', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '2::2:17', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '2', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '2::2:7', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '2', 'code': 'log', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '2:8:2:11', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '2', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '2:12:2:16', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_ASSIGN', 'flags:string[]': '', 'lineno:int': '4', 'code': 'gvar2 = 6', 'childnum:int': '2', 'funcid:int': '1', 'classname': '', 'namespace': '4:4:4:13', 'endlineno:int': '4', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'integer', 'flags:string[]': '', 'lineno:int': '4', 'code': '6', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '4:12:4:13', 'endlineno:int': '4', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': 'JS_DECL_VAR', 'lineno:int': '4', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '4:4:4:9', 'endlineno:int': '4', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_METHOD_CALL', 'flags:string[]': '', 'lineno:int': '5', 'code': 'console.log(global.gvar2)', 'childnum:int': '3', 'funcid:int': '1', 'classname': '', 'namespace': '5::5:25', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '5', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '5::5:7', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '5', 'code': 'log', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '5:8:5:11', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_PROP', 'flags:string[]': '', 'lineno:int': '5', 'code': 'global.gvar2', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '5:12:5:24', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '5', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '5:12:5:18', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '5', 'code': 'gvar2', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '5:19:5:24', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'Filesystem', 'type': 'File', 'flags:string[]': '', 'lineno:int': '', 'code': '', 'childnum:int': '', 'funcid:int': '', 'classname': '', 'namespace': '', 'endlineno:int': '', 'name': 'test.js', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_TOPLEVEL', 'flags:string[]': 'TOPLEVEL_FILE', 'lineno:int': '1', 'code': '', 'childnum:int': '', 'funcid:int': '', 'classname': '', 'namespace': '1::5:26', 'endlineno:int': '5', 'name': 'test.js', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_ASSIGN', 'flags:string[]': '', 'lineno:int': '1', 'code': 'window.gvar = 5', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '1::1:15', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'integer', 'flags:string[]': '', 'lineno:int': '1', 'code': '5', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '1:14:1:15', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_PROP', 'flags:string[]': '', 'lineno:int': '1', 'code': 'window.gvar', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '1::1:11', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '1', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '1::1:6', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '1', 'code': 'gvar', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '1:7:1:11', 'endlineno:int': '1', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_METHOD_CALL', 'flags:string[]': '', 'lineno:int': '2', 'code': 'console.log(gvar)', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '2::2:17', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '2', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '2::2:7', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '2', 'code': 'log', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '2:8:2:11', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '2', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '2:12:2:16', 'endlineno:int': '2', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_ASSIGN', 'flags:string[]': '', 'lineno:int': '4', 'code': 'gvar2 = 6', 'childnum:int': '2', 'funcid:int': '1', 'classname': '', 'namespace': '4:4:4:13', 'endlineno:int': '4', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'integer', 'flags:string[]': '', 'lineno:int': '4', 'code': '6', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '4:12:4:13', 'endlineno:int': '4', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': 'JS_DECL_VAR', 'lineno:int': '4', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '4:4:4:9', 'endlineno:int': '4', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_METHOD_CALL', 'flags:string[]': '', 'lineno:int': '5', 'code': 'console.log(global.gvar2)', 'childnum:int': '3', 'funcid:int': '1', 'classname': '', 'namespace': '5::5:25', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_VAR', 'flags:string[]': '', 'lineno:int': '5', 'code': '', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '5::5:7', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'string', 'flags:string[]': '', 'lineno:int': '5', 'code': 'log', 'childnum:int': '1', 'funcid:int': '1', 'classname': '', 'namespace': '5:8:5:11', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
processing {'export': True, 'labels:label': 'AST', 'type': 'AST_PROP', 'flags:string[]': '', 'lineno:int': '5', 'code': 'global.gvar2', 'childnum:int': '0', 'funcid:int': '1', 'classname': '', 'namespace': '5:12:5:24', 'endlineno:int': '5', 'name': '', 'doccomment': ''}
