id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
0	Filesystem	File									/Users/jia/Desktop/tmp/EOPG/demos/FromDocToPdf/js/webtooltabAPI.js	
1	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1						208	/Users/jia/Desktop/tmp/EOPG/demos/FromDocToPdf/js/webtooltabAPI.js	
2	Artificial	CFG_FUNC_ENTRY					1				/Users/jia/Desktop/tmp/EOPG/demos/FromDocToPdf/js/webtooltabAPI.js	
3	Artificial	CFG_FUNC_EXIT					1				/Users/jia/Desktop/tmp/EOPG/demos/FromDocToPdf/js/webtooltabAPI.js	
4	AST	AST_STMT_LIST		1		0	1			208		
5	AST	AST_ASSIGN		1	"webtooltab"	0	1			1		
6	AST	AST_VAR	JS_DECL_VAR	1		0	1			1		
7	AST	string		1	"webtooltab"	0	1			1	webtooltab	
8	AST	AST_CALL		2		1	1			208		
9	AST	AST_CLOSURE		2		0	1			208		
10	Artificial	CFG_FUNC_ENTRY					9					
11	Artificial	CFG_FUNC_EXIT					9					
12	AST	string		2	"{closure}"	0	9					
13	AST	NULL		2		1	9					
14	AST	AST_PARAM_LIST		2	"webtooltab"	2	9			208		
15	AST	AST_PARAM		2	"webtooltab"	0	9					
16	AST	NULL		2	"any"	0	9					
17	AST	string		2	"webtooltab"	1	9			2		
18	AST	NULL		2	"any"	2	9					
19	AST	NULL		2		3	9					
20	AST	AST_STMT_LIST		2		4	9			208		
21	AST	AST_ASSIGN		3	"config"	0	9			3		
22	AST	AST_VAR	JS_DECL_VAR	3		0	9			3		
23	AST	string		3	"config"	0	9			3	config	
24	AST	AST_FUNC_DECL		4	"getAPI"	1	9			29		
25	Artificial	CFG_FUNC_ENTRY					24					
26	Artificial	CFG_FUNC_EXIT					24					
27	AST	string		4	"getAPI"	0	24			4		
28	AST	NULL		4		1	24					
29	AST	AST_PARAM_LIST		4	"cfg"	2	24			29		
30	AST	AST_PARAM		4	"cfg"	0	24					
31	AST	NULL		4	"any"	0	24					
32	AST	string		4	"cfg"	1	24			4		
33	AST	NULL		4	"any"	2	24					
34	AST	AST_STMT_LIST		4		3	24			29		
35	AST	AST_ASSIGN		5	"config = cfg"	0	24			5		
36	AST	AST_VAR		5		0	24			5		
37	AST	string		5	"config"	0	24			5	config	
38	AST	AST_VAR		5		1	24			5		
39	AST	string		5	"cfg"	0	24			5	cfg	
40	AST	AST_ASSIGN		6	"api = {}"	1	24			6		
41	AST	AST_VAR	JS_DECL_VAR	6		0	24			6		
42	AST	string		6	"api"	0	24			6	api	
43	AST	AST_ARRAY	JS_OBJECT	6		1	24			6		
44	AST	AST_ASSIGN		7	"management = { disable: 'setEnabled', uninstall: 'uninstallSelf' }"	2	24			7		
45	AST	AST_VAR	JS_DECL_VAR	7		0	24			7		
46	AST	string		7	"management"	0	24			7	management	
47	AST	AST_ARRAY	JS_OBJECT	7		1	24			7		
48	AST	AST_ARRAY_ELEM		7		0	24			7		
49	AST	string		7	"setEnabled"	0	24			7		
50	AST	string		7	"disable"	1	24			7		
51	AST	AST_ARRAY_ELEM		7		1	24			7		
52	AST	string		7	"uninstallSelf"	0	24			7		
53	AST	string		7	"uninstall"	1	24			7		
54	AST	AST_ASSIGN		8	"api = Object.keys(management).reduce(function (obj, key) {            if (chrome.management[management[key]]) {                obj[key] = features.management[key];            }            return obj;        }, {})"	3	24			13		
55	AST	AST_VAR		8		0	24			8		
56	AST	string		8	"api"	0	24			8	api	
57	AST	AST_METHOD_CALL		8		1	24			13		
58	AST	AST_METHOD_CALL		8	"Object.keys(management)"	0	24			8		
59	AST	AST_VAR		8		0	24			8		
60	AST	string		8	"Object"	0	24			8	Object	
61	AST	string		8	"keys"	1	24			8		
62	AST	AST_ARG_LIST		8	"(management)"	2	24			8		
63	AST	AST_VAR		8		0	24			8		
64	AST	string		8	"management"	0	24			8	management	
65	AST	string		8	"reduce"	1	24			8		
66	AST	AST_ARG_LIST		8		2	24			13		
67	AST	AST_CLOSURE		8		0	24			13		
68	Artificial	CFG_FUNC_ENTRY					67					
69	Artificial	CFG_FUNC_EXIT					67					
70	AST	string		8	"{closure}"	0	67					
71	AST	NULL		8		1	67					
72	AST	AST_PARAM_LIST		8	"obj, key"	2	67			13		
73	AST	AST_PARAM		8	"obj"	0	67					
74	AST	NULL		8	"any"	0	67					
75	AST	string		8	"obj"	1	67			8		
76	AST	NULL		8	"any"	2	67					
