id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
0	Filesystem	File									test2.js	
1	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1						11	test2.js	
2	Artificial	CFG_FUNC_ENTRY					1				test2.js	
3	Artificial	CFG_FUNC_EXIT					1				test2.js	
4	AST	AST_STMT_LIST		1		0	1			11		
5	AST	AST_ASSIGN		1	"realcommand = _GET['a']"	0	1			1		
6	AST	AST_VAR		1	any	0	1			1		
7	AST	string		1	realcommand	0	1			1		
8	AST	AST_DIM		1	_GET['a']	1	1			1		
9	AST	AST_VAR		1		0	1			1		
10	AST	string		1	_GET	0	1			1	_GET	
11	AST	string		1	'a'	1	1			1		
12	AST	AST_ASSIGN		2	"tmp = _GET['a']"	1	1			2		
13	AST	AST_VAR		2	any	0	1			2		
14	AST	string		2	tmp	0	1			2		
15	AST	AST_DIM		2	_GET['a']	1	1			2		
16	AST	AST_VAR		2		0	1			2		
17	AST	string		2	_GET	0	1			2	_GET	
18	AST	string		2	'a'	1	1			2		
19	AST	AST_ASSIGN		3	"safe = _GET['a']"	2	1			3		
20	AST	AST_VAR		3	any	0	1			3		
21	AST	string		3	safe	0	1			3		
22	AST	AST_DIM		3	_GET['a']	1	1			3		
23	AST	AST_VAR		3		0	1			3		
24	AST	string		3	_GET	0	1			3	_GET	
25	AST	string		3	'a'	1	1			3		
26	AST	AST_ASSIGN		4	=	3	1			4		
27	AST	AST_VAR		4		0	1			4		
28	AST	string		4	tmp	0	1			4	tmp	
29	AST	AST_DIM		4	_GET['c']	1	1			4		
30	AST	AST_VAR		4		0	1			4		
31	AST	string		4	_GET	0	1			4	_GET	
32	AST	string		4	'c'	1	1			4		
33	AST	AST_ASSIGN		5	=	4	1			5		
34	AST	AST_VAR		5		0	1			5		
35	AST	string		5	realcommand	0	1			5	realcommand	
36	AST	AST_BINARY_OP	BINARY_ADD	5	+	1	1			5		
37	AST	AST_VAR		5		0	1			5		
38	AST	string		5	tmp	0	1			5	tmp	
39	AST	integer		5	10	1	1			5		
40	AST	AST_ASSIGN_OP	BINARY_ADD	6	+=	5	1			6		
41	AST	AST_VAR		6		0	1			6		
42	AST	string		6	realcommand	0	1			6	realcommand	
43	AST	integer		6	1	1	1			6		
44	AST	AST_IF		7	"if (realcommand != ';')    realcommand = \"changed\";"	6	1			8		
45	AST	AST_IF_ELEM		7		0	1			8		
46	AST	AST_BINARY_OP	BINARY_IS_NOT_EQUAL	7	!=	0	1			7		
47	AST	AST_VAR		7		0	1			7		
48	AST	string		7	realcommand	0	1			7	realcommand	
49	AST	string		7	';'	1	1			7		
50	AST	AST_STMT_LIST		7		1	1			8		
51	AST	AST_ASSIGN		8	=	0	1			8		
52	AST	AST_VAR		8		0	1			8		
53	AST	string		8	realcommand	0	1			8	realcommand	
54	AST	string		8	"changed"	1	1			8		
55	AST	AST_ASSIGN		9	"info = exec(realcommand)"	7	1			9		
56	AST	AST_VAR		9	any	0	1			9		
57	AST	string		9	info	0	1			9		
58	AST	AST_CALL		9		1	1			9		
59	AST	AST_NAME	NAME_NOT_FQ	9		0	1			9		
60	AST	string		9	exec	0	1			9		
61	AST	AST_ARG_LIST		9	exec(realcommand)	1	1			9		
62	AST	AST_VAR		9		0	1			9		
63	AST	string		9	realcommand	0	1			9	realcommand	
64	AST	AST_CALL		10		8	1			10		
65	AST	AST_NAME	NAME_NOT_FQ	10		0	1			10		
66	AST	string		10	exec	0	1			10		
67	AST	AST_ARG_LIST		10	exec(safe)	1	1			10		
68	AST	AST_VAR		10		0	1			10		
69	AST	string		10	safe	0	1			10	safe	
70	AST	AST_CALL		11		9	1			11		
71	AST	AST_NAME	NAME_NOT_FQ	11		0	1			11		
72	AST	string		11	exec	0	1			11		
73	AST	AST_ARG_LIST		11	exec(tmp)	1	1			11		
74	AST	AST_VAR		11		0	1			11		
75	AST	string		11	tmp	0	1			11	tmp	
