start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
0	1	DIRECTORY_OF			
0	1916	DIRECTORY_OF			
1	2	FILE_OF			
2	3	ENTRY			
2	4	EXIT			
2	5	PARENT_OF			
5	6	PARENT_OF			
5	51	PARENT_OF			
5	81	PARENT_OF			
5	122	PARENT_OF			
5	276	PARENT_OF			
5	285	PARENT_OF			
5	317	PARENT_OF			
5	356	PARENT_OF			
5	415	PARENT_OF			
5	493	PARENT_OF			
5	579	PARENT_OF			
5	627	PARENT_OF			
5	659	PARENT_OF			
5	680	PARENT_OF			
5	681	PARENT_OF			
5	714	PARENT_OF			
5	746	PARENT_OF			
5	816	PARENT_OF			
5	849	PARENT_OF			
5	850	PARENT_OF			
5	857	PARENT_OF			
5	899	PARENT_OF			
5	910	PARENT_OF			
5	947	PARENT_OF			
5	956	PARENT_OF			
5	986	PARENT_OF			
5	1005	PARENT_OF			
5	1012	PARENT_OF			
5	1150	PARENT_OF			
5	1151	PARENT_OF			
5	1201	PARENT_OF			
5	1261	PARENT_OF			
5	1274	PARENT_OF			
5	1298	PARENT_OF			
5	1326	PARENT_OF			
5	1354	PARENT_OF			
5	1431	PARENT_OF			
5	1479	PARENT_OF			
5	1527	PARENT_OF			
5	1562	PARENT_OF			
5	1583	PARENT_OF			
5	1604	PARENT_OF			
5	1625	PARENT_OF			
5	1659	PARENT_OF			
5	1696	PARENT_OF			
5	1717	PARENT_OF			
5	1742	PARENT_OF			
5	1772	PARENT_OF			
5	1813	PARENT_OF			
5	1833	PARENT_OF			
6	7	ENTRY			
6	8	EXIT			
6	9	PARENT_OF			
6	10	PARENT_OF			
6	11	PARENT_OF			
6	16	PARENT_OF			
6	49	PARENT_OF			
6	50	PARENT_OF			
6	51	FLOWS_TO			
6	1854	OBJ_REACHES			
11	12	PARENT_OF			
12	13	PARENT_OF			
12	14	PARENT_OF			
12	15	PARENT_OF			
16	17	PARENT_OF			
16	33	PARENT_OF			
17	18	PARENT_OF			
17	24	FLOWS_TO			
18	19	PARENT_OF			
18	23	PARENT_OF			
19	20	PARENT_OF			
19	22	PARENT_OF			
20	21	PARENT_OF			
23	24	PARENT_OF			
24	25	PARENT_OF			
24	29	PARENT_OF			
24	33	FLOWS_TO			
25	26	PARENT_OF			
25	28	PARENT_OF			
26	27	PARENT_OF			
29	30	PARENT_OF			
29	32	PARENT_OF			
30	31	PARENT_OF			
33	34	PARENT_OF			
33	40	FLOWS_TO			
34	35	PARENT_OF			
34	39	PARENT_OF			
35	36	PARENT_OF			
35	38	PARENT_OF			
36	37	PARENT_OF			
39	40	PARENT_OF			
40	41	PARENT_OF			
40	45	PARENT_OF			
40	1854	FLOWS_TO			
41	42	PARENT_OF			
41	44	PARENT_OF			
42	43	PARENT_OF			
45	46	PARENT_OF			
45	48	PARENT_OF			
46	47	PARENT_OF			
51	52	PARENT_OF			
51	60	PARENT_OF			
51	81	FLOWS_TO			
51	1854	OBJ_REACHES			
52	53	PARENT_OF			
52	59	PARENT_OF			
53	54	PARENT_OF			
53	58	PARENT_OF			
54	55	PARENT_OF			
54	57	PARENT_OF			
55	56	PARENT_OF			
60	61	ENTRY			
60	62	EXIT			
60	63	PARENT_OF			
60	64	PARENT_OF			
60	65	PARENT_OF			
60	70	PARENT_OF			
60	71	PARENT_OF			
60	79	PARENT_OF			
60	80	PARENT_OF			
65	66	PARENT_OF			
66	67	PARENT_OF			
66	68	PARENT_OF			
66	69	PARENT_OF			
71	72	PARENT_OF			
72	73	PARENT_OF			
72	75	PARENT_OF			
72	4765	CALLS			
72	1873	FLOWS_TO			
73	74	PARENT_OF			
75	76	PARENT_OF			
75	77	PARENT_OF			
77	78	PARENT_OF			
81	82	PARENT_OF			
81	88	PARENT_OF			
81	122	FLOWS_TO			
82	83	PARENT_OF			
82	87	PARENT_OF			
83	84	PARENT_OF			
83	86	PARENT_OF			
84	85	PARENT_OF			
88	89	ENTRY			
88	90	EXIT			
88	91	PARENT_OF			
88	92	PARENT_OF			
88	93	PARENT_OF			
88	98	PARENT_OF			
88	99	PARENT_OF			
88	120	PARENT_OF			
88	121	PARENT_OF			
93	94	PARENT_OF			
94	95	PARENT_OF			
94	96	PARENT_OF			
94	97	PARENT_OF			
99	100	PARENT_OF			
99	104	PARENT_OF			
99	112	PARENT_OF			
100	101	PARENT_OF			
100	103	PARENT_OF			
100	104	FLOWS_TO			
101	102	PARENT_OF			
104	105	PARENT_OF			
104	107	PARENT_OF			
104	112	FLOWS_TO			
105	106	PARENT_OF			
107	108	PARENT_OF			
108	109	PARENT_OF			
108	111	PARENT_OF			
109	110	PARENT_OF			
112	113	PARENT_OF			
112	115	PARENT_OF			
112	4779	CALLS			
112	338	FLOWS_TO			
112	1873	FLOWS_TO			
112	3554	FLOWS_TO			
113	114	PARENT_OF			
115	116	PARENT_OF			
115	118	PARENT_OF			
116	117	PARENT_OF			
118	119	PARENT_OF			
122	123	ENTRY			
122	124	EXIT			
122	125	PARENT_OF			
122	126	PARENT_OF			
122	127	PARENT_OF			
122	128	PARENT_OF			
122	274	PARENT_OF			
122	275	PARENT_OF			
122	276	FLOWS_TO			
128	129	PARENT_OF			
128	137	PARENT_OF			
128	145	PARENT_OF			
128	153	PARENT_OF			
128	161	PARENT_OF			
128	167	PARENT_OF			
128	173	PARENT_OF			
128	179	PARENT_OF			
128	187	PARENT_OF			
128	193	PARENT_OF			
128	201	PARENT_OF			
128	207	PARENT_OF			
128	218	PARENT_OF			
128	224	PARENT_OF			
128	230	PARENT_OF			
128	238	PARENT_OF			
128	244	PARENT_OF			
128	250	PARENT_OF			
128	256	PARENT_OF			
128	262	PARENT_OF			
128	268	PARENT_OF			
129	130	PARENT_OF			
129	134	PARENT_OF			
130	131	PARENT_OF			
130	133	PARENT_OF			
131	132	PARENT_OF			
134	135	PARENT_OF			
135	136	PARENT_OF			
137	138	PARENT_OF			
137	142	PARENT_OF			
138	139	PARENT_OF			
138	141	PARENT_OF			
139	140	PARENT_OF			
142	143	PARENT_OF			
143	144	PARENT_OF			
145	146	PARENT_OF			
145	150	PARENT_OF			
146	147	PARENT_OF			
146	149	PARENT_OF			
147	148	PARENT_OF			
150	151	PARENT_OF			
151	152	PARENT_OF			
153	154	PARENT_OF			
153	158	PARENT_OF			
154	155	PARENT_OF			
154	157	PARENT_OF			
155	156	PARENT_OF			
158	159	PARENT_OF			
159	160	PARENT_OF			
161	162	PARENT_OF			
161	166	PARENT_OF			
162	163	PARENT_OF			
162	165	PARENT_OF			
163	164	PARENT_OF			
167	168	PARENT_OF			
167	172	PARENT_OF			
168	169	PARENT_OF			
168	171	PARENT_OF			
169	170	PARENT_OF			
173	174	PARENT_OF			
173	178	PARENT_OF			
174	175	PARENT_OF			
174	177	PARENT_OF			
175	176	PARENT_OF			
179	180	PARENT_OF			
179	184	PARENT_OF			
180	181	PARENT_OF			
180	183	PARENT_OF			
181	182	PARENT_OF			
184	185	PARENT_OF			
185	186	PARENT_OF			
187	188	PARENT_OF			
187	192	PARENT_OF			
188	189	PARENT_OF			
188	191	PARENT_OF			
189	190	PARENT_OF			
193	194	PARENT_OF			
193	198	PARENT_OF			
194	195	PARENT_OF			
194	197	PARENT_OF			
195	196	PARENT_OF			
198	199	PARENT_OF			
199	200	PARENT_OF			
201	202	PARENT_OF			
201	206	PARENT_OF			
202	203	PARENT_OF			
202	205	PARENT_OF			
203	204	PARENT_OF			
207	208	PARENT_OF			
207	212	PARENT_OF			
208	209	PARENT_OF			
208	211	PARENT_OF			
209	210	PARENT_OF			
212	213	PARENT_OF			
213	214	PARENT_OF			
213	217	PARENT_OF			
214	215	PARENT_OF			
215	216	PARENT_OF			
218	219	PARENT_OF			
218	223	PARENT_OF			
219	220	PARENT_OF			
219	222	PARENT_OF			
220	221	PARENT_OF			
224	225	PARENT_OF			
224	229	PARENT_OF			
225	226	PARENT_OF			
225	228	PARENT_OF			
226	227	PARENT_OF			
230	231	PARENT_OF			
230	235	PARENT_OF			
231	232	PARENT_OF			
231	234	PARENT_OF			
232	233	PARENT_OF			
235	236	PARENT_OF			
236	237	PARENT_OF			
238	239	PARENT_OF			
238	243	PARENT_OF			
239	240	PARENT_OF			
239	242	PARENT_OF			
240	241	PARENT_OF			
244	245	PARENT_OF			
244	249	PARENT_OF			
245	246	PARENT_OF			
245	248	PARENT_OF			
246	247	PARENT_OF			
250	251	PARENT_OF			
250	255	PARENT_OF			
251	252	PARENT_OF			
251	254	PARENT_OF			
252	253	PARENT_OF			
256	257	PARENT_OF			
256	261	PARENT_OF			
257	258	PARENT_OF			
257	260	PARENT_OF			
258	259	PARENT_OF			
262	263	PARENT_OF			
262	267	PARENT_OF			
263	264	PARENT_OF			
263	266	PARENT_OF			
264	265	PARENT_OF			
268	269	PARENT_OF			
268	273	PARENT_OF			
269	270	PARENT_OF			
269	272	PARENT_OF			
270	271	PARENT_OF			
276	277	ENTRY			
276	278	EXIT			
276	279	PARENT_OF			
276	280	PARENT_OF			
276	281	PARENT_OF			
276	282	PARENT_OF			
276	283	PARENT_OF			
276	284	PARENT_OF			
276	285	FLOWS_TO			
276	1884	OBJ_REACHES			
276	1884	OBJ_REACHES			
276	1884	OBJ_REACHES			
276	1884	OBJ_REACHES			
276	1833	OBJ_REACHES			
285	286	PARENT_OF			
285	296	PARENT_OF			
285	317	FLOWS_TO			
285	1833	OBJ_REACHES			
285	1833	OBJ_REACHES			
286	287	PARENT_OF			
286	295	PARENT_OF			
287	288	PARENT_OF			
287	294	PARENT_OF			
288	289	PARENT_OF			
288	293	PARENT_OF			
289	290	PARENT_OF			
289	292	PARENT_OF			
290	291	PARENT_OF			
296	297	ENTRY			
296	298	EXIT			
296	299	PARENT_OF			
296	300	PARENT_OF			
296	301	PARENT_OF			
296	306	PARENT_OF			
296	307	PARENT_OF			
296	315	PARENT_OF			
296	316	PARENT_OF			
301	302	PARENT_OF			
302	303	PARENT_OF			
302	304	PARENT_OF			
302	305	PARENT_OF			
307	308	PARENT_OF			
308	309	PARENT_OF			
308	311	PARENT_OF			
308	4765	CALLS			
308	1921	FLOWS_TO			
309	310	PARENT_OF			
311	312	PARENT_OF			
311	313	PARENT_OF			
313	314	PARENT_OF			
317	318	PARENT_OF			
317	326	PARENT_OF			
317	356	FLOWS_TO			
317	1884	OBJ_REACHES			
317	1884	OBJ_REACHES			
317	1884	OBJ_REACHES			
317	1884	OBJ_REACHES			
318	319	PARENT_OF			
318	325	PARENT_OF			
319	320	PARENT_OF			
319	324	PARENT_OF			
320	321	PARENT_OF			
320	323	PARENT_OF			
321	322	PARENT_OF			
326	327	ENTRY			
326	328	EXIT			
326	329	PARENT_OF			
326	330	PARENT_OF			
326	331	PARENT_OF			
326	336	PARENT_OF			
326	337	PARENT_OF			
326	354	PARENT_OF			
326	355	PARENT_OF			
331	332	PARENT_OF			
332	333	PARENT_OF			
332	334	PARENT_OF			
332	335	PARENT_OF			
337	338	PARENT_OF			
337	348	PARENT_OF			
338	339	PARENT_OF			
338	341	PARENT_OF			
338	348	FLOWS_TO			
338	1903	OBJ_REACHES			
338	1903	OBJ_REACHES			
338	3554	OBJ_REACHES			
338	3554	OBJ_REACHES			
338	3554	OBJ_REACHES			
338	3554	OBJ_REACHES			
338	3554	OBJ_REACHES			
338	3554	OBJ_REACHES			
339	340	PARENT_OF			
341	342	PARENT_OF			
341	345	PARENT_OF			
342	343	PARENT_OF			
342	344	PARENT_OF			
345	346	PARENT_OF			
345	347	PARENT_OF			
348	349	PARENT_OF			
348	351	PARENT_OF			
348	1903	FLOWS_TO			
348	1891	CALLS			
349	350	PARENT_OF			
351	352	PARENT_OF			
352	353	PARENT_OF			
356	357	PARENT_OF			
356	365	PARENT_OF			
356	415	FLOWS_TO			
357	358	PARENT_OF			
357	364	PARENT_OF			
358	359	PARENT_OF			
358	363	PARENT_OF			
359	360	PARENT_OF			
359	362	PARENT_OF			
360	361	PARENT_OF			
365	366	ENTRY			
365	367	EXIT			
365	368	PARENT_OF			
365	369	PARENT_OF			
365	370	PARENT_OF			
365	383	PARENT_OF			
365	384	PARENT_OF			
365	413	PARENT_OF			
365	414	PARENT_OF			
370	371	PARENT_OF			
370	375	PARENT_OF			
370	379	PARENT_OF			
371	372	PARENT_OF			
371	373	PARENT_OF			
371	374	PARENT_OF			
375	376	PARENT_OF			
375	377	PARENT_OF			
375	378	PARENT_OF			
379	380	PARENT_OF			
379	381	PARENT_OF			
379	382	PARENT_OF			
384	385	PARENT_OF			
384	389	PARENT_OF			
384	405	PARENT_OF			
385	386	PARENT_OF			
385	388	PARENT_OF			
386	387	PARENT_OF			
389	390	PARENT_OF			
389	392	PARENT_OF			
390	391	PARENT_OF			
392	393	PARENT_OF			
392	397	PARENT_OF			
392	401	PARENT_OF			
393	394	PARENT_OF			
393	396	PARENT_OF			
394	395	PARENT_OF			
397	398	PARENT_OF			
397	400	PARENT_OF			
398	399	PARENT_OF			
401	402	PARENT_OF			
401	404	PARENT_OF			
402	403	PARENT_OF			
405	406	PARENT_OF			
405	408	PARENT_OF			
406	407	PARENT_OF			
408	409	PARENT_OF			
408	411	PARENT_OF			
409	410	PARENT_OF			
411	412	PARENT_OF			
415	416	PARENT_OF			
415	424	PARENT_OF			
415	493	FLOWS_TO			
416	417	PARENT_OF			
416	423	PARENT_OF			
417	418	PARENT_OF			
417	422	PARENT_OF			
418	419	PARENT_OF			
418	421	PARENT_OF			
419	420	PARENT_OF			
424	425	ENTRY			
424	426	EXIT			
424	427	PARENT_OF			
424	428	PARENT_OF			
424	429	PARENT_OF			
424	438	PARENT_OF			
424	439	PARENT_OF			
424	491	PARENT_OF			
424	492	PARENT_OF			
429	430	PARENT_OF			
429	434	PARENT_OF			
430	431	PARENT_OF			
430	432	PARENT_OF			
430	433	PARENT_OF			
434	435	PARENT_OF			
434	436	PARENT_OF			
434	437	PARENT_OF			
439	440	PARENT_OF			
439	485	PARENT_OF			
440	441	PARENT_OF			
440	443	PARENT_OF			
441	442	PARENT_OF			
443	444	PARENT_OF			
443	447	PARENT_OF			
443	450	PARENT_OF			
443	455	PARENT_OF			
443	460	PARENT_OF			
443	463	PARENT_OF			
443	466	PARENT_OF			
443	469	PARENT_OF			
443	474	PARENT_OF			
443	479	PARENT_OF			
443	482	PARENT_OF			
444	445	PARENT_OF			
