start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
132	73	OBJ_AST			
130	47	OBJ_AST			
130	129	OBJ_SCOPE			
21	24	PARENT_OF			
21	25	PARENT_OF			
21	26	PARENT_OF			
21	27	PARENT_OF			
21	22	ENTRY			
21	23	EXIT			
21	28	PARENT_OF			
21	40	PARENT_OF			
21	41	PARENT_OF			
22	29	FLOWS_TO			
28	29	PARENT_OF			
28	34	PARENT_OF			
29	32	PARENT_OF			
29	30	PARENT_OF			
29	34	FLOWS_TO			
4	76	PARENT_OF			
4	88	PARENT_OF			
4	5	PARENT_OF			
4	93	PARENT_OF			
4	83	PARENT_OF			
119	21	SCOPE_AST			
120	119	OBJ_SCOPE			
120	21	OBJ_AST			
121	114	NAME_OBJ			
122	99	OBJ_SCOPE			
122	132	OBJ_PARENT			
122	130	OBJ_PARENT			
122	124	OBJ_PARENT			
122	126	OBJ_PARENT			
122	128	OBJ_PARENT			
122	93	OBJ_AST			
123	5	SCOPE_AST			
124	123	OBJ_SCOPE			
124	5	OBJ_AST			
126	15	OBJ_AST			
127	21	SCOPE_AST			
128	21	OBJ_AST			
128	127	OBJ_SCOPE			
129	47	SCOPE_AST			
118	99	OBJ_AST			
118	120	OBJ_PARENT			
118	107	OBJ_SCOPE			
59	60	PARENT_OF			
58	61	PARENT_OF			
58	59	PARENT_OF			
55	62	FLOWS_TO			
55	56	PARENT_OF			
55	58	PARENT_OF			
54	55	PARENT_OF			
54	62	PARENT_OF			
56	57	PARENT_OF			
115	103	NAME_OBJ			
114	73	OBJ_AST			
88	91	PARENT_OF			
88	93	FLOWS_TO			
88	89	PARENT_OF			
88	92	PARENT_OF			
89	90	PARENT_OF			
111	47	OBJ_AST			
111	110	OBJ_SCOPE			
110	47	SCOPE_AST			
112	130	NAME_OBJ			
83	88	FLOWS_TO			
83	88	REACHES	n		
83	86	PARENT_OF			
83	84	PARENT_OF			
80	81	PARENT_OF			
86	87	PARENT_OF			
84	85	PARENT_OF			
108	21	OBJ_AST			
108	107	OBJ_SCOPE			
109	128	NAME_OBJ			
103	99	OBJ_SCOPE			
103	114	OBJ_PARENT			
103	108	OBJ_PARENT			
103	111	OBJ_PARENT			
103	5	OBJ_DECL			
103	79	OBJ_AST			
103	105	OBJ_PARENT			
100	99	OBJ_SCOPE			
100	5	OBJ_AST			
101	124	NAME_OBJ			
106	132	NAME_OBJ			
107	121	SCOPE_VAR_EDGE			
107	119	SCOPE_PARENT			
107	21	SCOPE_AST			
105	15	OBJ_AST			
38	39	PARENT_OF			
32	33	PARENT_OF			
30	31	PARENT_OF			
35	36	PARENT_OF			
34	38	PARENT_OF			
34	37	PARENT_OF			
34	35	PARENT_OF			
34	23	FLOWS_TO			
62	63	PARENT_OF			
62	65	PARENT_OF			
62	66	PARENT_OF			
62	49	FLOWS_TO			
63	64	PARENT_OF			
66	67	PARENT_OF			
2	76	FLOWS_TO			
6	12	FLOWS_TO			
99	123	SCOPE_PARENT			
99	127	SCOPE_PARENT			
99	109	SCOPE_VAR_EDGE			
99	5	SCOPE_AST			
99	110	SCOPE_PARENT			
99	112	SCOPE_VAR_EDGE			
99	129	SCOPE_PARENT			
99	106	SCOPE_VAR_EDGE			
99	107	SCOPE_PARENT			
98	103	OBJ_PARENT			
98	100	OBJ_PARENT			
98	122	OBJ_PARENT			
98	118	OBJ_PARENT			
93	3	FLOWS_TO			
93	5	CALLS			
93	94	PARENT_OF			
93	96	PARENT_OF			
94	95	PARENT_OF			
97	99	SCOPE_PARENT			
97	1	SCOPE_AST			
97	116	SCOPE_VAR_EDGE			
97	115	SCOPE_VAR_EDGE			
97	101	SCOPE_VAR_EDGE			
11	12	PARENT_OF			
11	42	PARENT_OF			
11	70	PARENT_OF			
11	16	PARENT_OF			
13	14	PARENT_OF			
12	13	PARENT_OF			
12	15	PARENT_OF			
12	16	FLOWS_TO			
17	18	PARENT_OF			
17	20	PARENT_OF			
16	42	FLOWS_TO			
16	21	PARENT_OF			
16	17	PARENT_OF			
18	19	PARENT_OF			
116	103	NAME_OBJ			
48	55	FLOWS_TO			
47	48	ENTRY			
47	49	EXIT			
47	54	PARENT_OF			
47	51	PARENT_OF			
47	50	PARENT_OF			
47	53	PARENT_OF			
47	52	PARENT_OF			
47	68	PARENT_OF			
47	69	PARENT_OF			
44	45	PARENT_OF			
42	47	PARENT_OF			
42	43	PARENT_OF			
42	70	FLOWS_TO			
43	46	PARENT_OF			
43	44	PARENT_OF			
1	3	EXIT			
1	2	ENTRY			
1	5	DEFINES			
1	4	PARENT_OF			
5	11	PARENT_OF			
5	10	PARENT_OF			
5	21	DEFINES			
5	47	DEFINES			
5	75	PARENT_OF			
5	74	PARENT_OF			
5	7	EXIT			
5	6	ENTRY			
5	9	PARENT_OF			
5	8	PARENT_OF			
77	78	PARENT_OF			
76	77	PARENT_OF			
76	83	FLOWS_TO			
76	83	REACHES	f		
76	79	PARENT_OF			
71	72	PARENT_OF			
70	73	PARENT_OF			
70	71	PARENT_OF			
70	7	FLOWS_TO			
79	82	PARENT_OF			
79	80	PARENT_OF			
